N,K,P,Zn,Mg,S,pH,Rainfall,Temperature,Humidity,Crop_Subcategory
3.0,3.0,1.7,0.5,1.5,0.3,7.1,604.8,29.3,76.6,Cotton_MCU 7
2.7,3.2,1.6,0.5,1.1,0.5,7.2,849.3,23.1,69.3,Cotton_MCU 7
3.1,3.2,2.0,0.5,1.5,0.5,6.8,645.1,29.6,67.3,Cotton_MCU 7
2.8,3.4,2.1,0.2,1.2,0.4,6.6,725.9,26.2,76.0,Cotton_MCU 7
2.9,2.7,1.7,0.3,1.5,0.7,6.5,645.6,25.3,71.8,Cotton_MCU 7
3.1,3.0,2.5,0.4,1.0,0.4,6.2,848.8,29.9,70.4,Cotton_MCU 7
2.9,2.5,1.8,0.4,1.4,0.4,6.7,847.2,25.6,74.0,Cotton_MCU 7
3.0,3.3,2.2,0.2,1.2,0.4,6.8,714.0,25.0,65.1,Cotton_MCU 7
3.2,2.8,2.0,0.4,1.1,0.7,7.1,635.3,24.8,65.6,Cotton_MCU 7
2.7,2.7,2.3,0.2,1.3,0.7,6.3,805.7,23.6,71.5,Cotton_MCU 7
3.0,3.5,2.0,0.2,1.3,0.5,6.3,630.4,23.1,72.3,Cotton_MCU 7
3.0,2.9,2.1,0.5,1.2,0.8,7.2,670.7,24.4,68.2,Cotton_MCU 7
2.8,3.5,2.1,0.4,1.3,0.5,6.4,836.2,26.8,77.4,Cotton_MCU 7
2.6,3.2,1.8,0.4,1.5,0.6,7.1,648.8,25.3,72.8,Cotton_MCU 7
3.1,3.1,2.3,0.6,1.1,0.6,7.0,658.3,27.6,72.2,Cotton_MCU 7
2.7,3.4,1.7,0.2,1.1,0.4,6.5,657.7,24.2,75.8,Cotton_MCU 7
2.8,3.4,2.1,0.3,1.3,0.4,6.8,685.9,26.5,70.0,Cotton_MCU 7
3.0,3.1,2.0,0.4,1.2,0.6,7.2,784.7,29.1,71.5,Cotton_MCU 7
2.9,3.3,1.8,0.4,1.2,0.3,7.0,718.5,26.2,65.4,Cotton_MCU 7
2.7,2.7,1.8,0.5,1.5,0.6,6.6,740.7,28.5,69.5,Cotton_MCU 7
2.7,3.4,1.8,0.4,1.3,0.7,6.8,635.1,23.8,67.9,Cotton_MCU 7
3.0,2.9,2.4,0.5,1.5,0.4,6.9,634.6,29.7,66.9,Cotton_MCU 7
2.7,3.1,2.4,0.4,1.1,0.7,6.7,660.6,25.3,75.9,Cotton_MCU 7
2.6,3.3,2.3,0.4,1.1,0.4,6.2,731.5,24.8,70.5,Cotton_MCU 7
3.2,3.2,1.5,0.6,1.3,0.7,6.6,722.6,29.0,76.9,Cotton_MCU 7
2.7,2.7,2.1,0.4,1.5,0.7,6.4,782.0,25.3,72.4,Cotton_MCU 7
2.6,3.0,1.5,0.6,1.1,0.6,6.3,664.4,29.3,74.1,Cotton_MCU 7
2.8,2.6,2.2,0.2,1.5,0.6,7.2,768.5,24.6,68.4,Cotton_MCU 7
2.7,2.7,2.4,0.2,1.1,0.8,6.3,841.9,27.6,72.2,Cotton_MCU 7
2.7,2.7,1.6,0.4,1.5,0.7,6.5,739.1,24.1,65.9,Cotton_MCU 7
2.7,2.5,1.9,0.3,1.6,0.3,6.8,798.2,29.5,68.1,Cotton_MCU 7
2.9,3.0,1.6,0.6,1.6,0.4,6.7,787.3,28.7,71.9,Cotton_MCU 7
3.1,2.8,1.6,0.4,1.3,0.6,7.1,629.0,26.9,76.1,Cotton_MCU 7
3.2,3.5,2.1,0.5,1.1,0.7,6.7,704.2,23.1,69.4,Cotton_MCU 7
2.9,3.5,2.2,0.4,1.2,0.4,6.5,747.8,24.4,73.3,Cotton_MCU 7
2.9,2.6,1.9,0.2,1.3,0.4,6.7,749.4,23.5,69.8,Cotton_MCU 7
2.6,2.8,2.3,0.3,1.4,0.8,7.1,632.0,23.3,79.6,Cotton_MCU 7
2.8,3.4,2.0,0.4,1.1,0.4,6.4,685.3,27.0,65.8,Cotton_MCU 7
3.0,2.9,2.4,0.5,1.6,0.7,6.9,729.1,25.5,69.3,Cotton_MCU 7
2.8,2.8,2.3,0.4,1.2,0.6,6.2,831.2,25.3,73.4,Cotton_MCU 7
2.8,2.6,2.4,0.5,1.3,0.6,6.4,692.9,24.9,75.2,Cotton_MCU 7
3.0,3.4,2.4,0.3,1.3,0.7,7.0,829.8,26.8,69.8,Cotton_MCU 7
2.7,2.8,1.8,0.3,1.4,0.6,6.4,807.7,27.0,79.9,Cotton_MCU 7
2.5,3.3,1.6,0.3,1.2,0.5,6.5,820.2,23.5,75.7,Cotton_MCU 7
3.1,3.4,1.7,0.5,1.4,0.6,7.0,664.9,25.8,79.5,Cotton_MCU 7
2.8,3.0,1.8,0.2,1.3,0.4,6.9,635.5,25.4,65.8,Cotton_MCU 7
2.8,3.1,1.9,0.6,1.1,0.8,6.4,842.0,25.1,77.3,Cotton_MCU 7
3.1,2.8,1.9,0.3,1.3,0.6,7.0,665.2,26.2,73.8,Cotton_MCU 7
2.8,3.0,1.8,0.3,1.5,0.6,6.6,662.1,23.7,75.9,Cotton_MCU 7
2.7,3.1,1.7,0.3,1.4,0.5,7.1,737.8,28.6,79.7,Cotton_MCU 7
3.1,3.2,2.1,0.4,1.0,0.3,7.1,824.2,27.0,74.8,Cotton_MCU 7
3.0,2.6,2.3,0.5,1.0,0.4,7.1,683.3,25.0,78.3,Cotton_MCU 7
3.2,3.0,1.6,0.6,1.5,0.5,6.6,735.5,26.1,70.6,Cotton_MCU 7
2.7,2.9,2.4,0.4,1.0,0.7,6.5,822.4,24.3,70.6,Cotton_MCU 7
2.6,3.2,2.1,0.6,1.6,0.7,7.0,682.8,25.2,72.7,Cotton_MCU 7
2.5,3.3,2.0,0.5,1.6,0.6,6.6,844.9,26.0,65.6,Cotton_MCU 7
3.0,3.5,2.2,0.4,1.4,0.6,7.1,828.7,26.1,77.9,Cotton_MCU 7
2.9,2.8,2.3,0.4,1.4,0.5,6.4,702.8,25.4,69.9,Cotton_MCU 7
2.8,2.9,1.8,0.6,1.2,0.4,7.0,699.9,27.8,77.5,Cotton_MCU 7
2.6,3.3,2.4,0.5,1.5,0.4,6.9,839.4,24.1,70.5,Cotton_MCU 7
2.8,2.5,2.1,0.3,1.0,0.5,6.5,694.9,26.7,71.7,Cotton_MCU 7
3.1,3.0,1.5,0.3,1.3,0.7,7.0,714.5,27.2,73.7,Cotton_MCU 7
2.9,3.0,1.5,0.5,1.5,0.4,6.6,624.0,23.6,74.9,Cotton_MCU 7
2.5,3.1,1.8,0.6,1.5,0.7,7.0,657.4,27.8,79.3,Cotton_MCU 7
2.8,2.7,2.4,0.3,1.1,0.6,7.2,805.0,27.3,70.8,Cotton_MCU 7
3.2,3.3,1.6,0.6,1.3,0.4,6.6,747.5,29.3,69.7,Cotton_MCU 7
2.9,3.0,2.3,0.5,1.4,0.7,7.2,660.9,26.4,73.9,Cotton_MCU 7
2.8,3.1,1.9,0.3,1.1,0.7,7.1,695.3,24.5,66.1,Cotton_MCU 7
3.0,2.6,2.4,0.5,1.1,0.4,6.3,845.7,28.4,66.9,Cotton_MCU 7
2.9,2.5,2.5,0.4,1.5,0.6,6.9,670.2,23.1,71.7,Cotton_MCU 7
3.0,3.2,2.3,0.4,1.2,0.3,7.2,767.5,26.9,69.8,Cotton_MCU 7
2.8,2.9,1.5,0.3,1.3,0.4,7.0,702.3,24.1,76.3,Cotton_MCU 7
2.9,3.2,1.6,0.3,1.1,0.5,6.3,707.1,26.1,69.4,Cotton_MCU 7
2.7,3.4,2.5,0.5,1.4,0.7,7.1,664.2,28.5,74.7,Cotton_MCU 7
2.5,3.0,1.9,0.3,1.1,0.5,6.3,670.2,23.6,68.2,Cotton_MCU 7
2.7,3.1,1.6,0.4,1.6,0.7,6.5,620.8,27.0,74.4,Cotton_MCU 7
2.9,3.2,2.1,0.4,1.3,0.7,6.3,712.4,25.1,72.5,Cotton_MCU 7
2.9,2.9,1.6,0.5,1.1,0.5,6.4,711.8,29.3,78.2,Cotton_MCU 7
2.8,2.7,1.6,0.3,1.3,0.4,6.8,833.7,29.6,70.0,Cotton_MCU 7
2.9,3.3,2.3,0.4,1.4,0.7,6.9,692.7,28.2,77.4,Cotton_MCU 7
3.1,3.0,1.6,0.2,1.1,0.6,7.2,770.0,25.8,73.4,Cotton_MCU 7
3.2,2.7,2.0,0.4,1.1,0.5,6.9,798.7,29.4,80.0,Cotton_MCU 7
3.0,3.3,1.5,0.5,1.4,0.7,6.6,701.1,27.6,69.1,Cotton_MCU 7
3.0,2.6,2.3,0.4,1.1,0.7,6.5,748.1,29.0,67.2,Cotton_MCU 7
2.8,2.9,2.2,0.5,1.5,0.5,6.5,802.4,25.4,78.0,Cotton_MCU 7
3.0,3.1,1.6,0.3,1.3,0.8,7.0,840.4,23.7,70.8,Cotton_MCU 7
3.1,3.3,2.3,0.4,1.4,0.3,7.1,843.8,27.4,72.2,Cotton_MCU 7
2.8,3.1,2.0,0.5,1.1,0.3,6.4,659.5,25.1,75.2,Cotton_MCU 7
2.9,2.6,1.6,0.6,1.0,0.5,6.2,703.8,27.3,74.6,Cotton_MCU 7
2.8,2.8,2.1,0.3,1.3,0.6,7.1,643.1,28.4,70.7,Cotton_MCU 7
2.6,2.5,2.4,0.3,1.0,0.4,6.9,650.9,29.8,79.3,Cotton_MCU 7
2.9,2.7,2.2,0.3,1.3,0.7,6.7,777.9,29.1,71.6,Cotton_MCU 7
3.1,3.0,1.6,0.4,1.3,0.4,6.7,606.2,28.2,72.4,Cotton_MCU 7
2.8,2.7,1.8,0.3,1.1,0.3,6.7,655.7,29.0,66.3,Cotton_MCU 7
2.8,3.4,2.0,0.4,1.3,0.7,6.9,704.4,29.3,70.7,Cotton_MCU 7
2.8,2.6,1.5,0.2,1.3,0.3,7.1,817.8,29.6,67.9,Cotton_MCU 7
2.9,3.4,2.1,0.5,1.5,0.3,7.0,725.5,23.7,75.0,Cotton_MCU 7
2.7,3.3,2.3,0.5,1.1,0.6,7.1,799.3,27.5,67.0,Cotton_MCU 7
3.1,3.2,1.7,0.4,1.2,0.6,7.2,716.1,26.7,66.5,Cotton_MCU 7
3.1,3.3,1.8,0.3,1.3,0.8,6.4,637.0,24.0,77.0,Cotton_MCU 7
3.0,3.0,2.3,0.4,1.0,0.7,7.0,844.2,27.7,72.1,Cotton_RCH 2
3.0,3.0,1.5,0.5,1.1,0.7,7.0,726.4,23.4,74.3,Cotton_RCH 2
2.7,3.0,2.4,0.6,1.0,0.6,6.6,701.3,23.8,71.7,Cotton_RCH 2
3.1,2.7,2.3,0.2,1.1,0.7,6.5,743.5,24.9,72.0,Cotton_RCH 2
2.9,3.0,1.6,0.3,1.3,0.8,6.3,726.2,24.9,75.6,Cotton_RCH 2
2.6,3.5,2.1,0.6,1.4,0.7,6.4,645.4,29.4,79.5,Cotton_RCH 2
3.1,2.7,1.6,0.5,1.1,0.5,7.2,830.7,28.2,77.8,Cotton_RCH 2
2.8,3.3,1.8,0.5,1.4,0.4,6.8,622.3,27.5,72.0,Cotton_RCH 2
2.8,2.5,1.7,0.5,1.4,0.8,6.5,832.0,28.0,75.0,Cotton_RCH 2
2.9,2.8,2.5,0.6,1.3,0.8,7.1,787.7,28.9,71.2,Cotton_RCH 2
2.7,2.8,2.4,0.4,1.4,0.4,6.2,614.4,27.7,69.6,Cotton_RCH 2
2.6,3.4,2.1,0.2,1.0,0.8,6.5,685.4,27.0,76.2,Cotton_RCH 2
3.1,2.6,1.9,0.5,1.2,0.6,6.8,721.7,28.4,68.2,Cotton_RCH 2
3.1,3.4,1.7,0.5,1.4,0.6,6.9,661.3,25.4,71.9,Cotton_RCH 2
2.9,3.1,2.0,0.6,1.2,0.8,6.8,768.9,26.8,78.2,Cotton_RCH 2
2.7,2.8,2.5,0.3,1.2,0.4,6.7,626.7,26.3,74.7,Cotton_RCH 2
3.2,2.8,2.0,0.5,1.5,0.7,6.9,843.5,24.9,79.8,Cotton_RCH 2
2.5,2.9,1.9,0.3,1.2,0.5,7.2,708.3,28.5,69.5,Cotton_RCH 2
2.9,2.9,2.1,0.3,1.2,0.3,6.8,841.7,28.3,78.1,Cotton_RCH 2
2.6,2.5,2.5,0.5,1.2,0.7,6.7,680.5,27.0,74.5,Cotton_RCH 2
3.2,3.2,2.3,0.2,1.3,0.5,6.9,604.6,26.7,77.3,Cotton_RCH 2
2.7,3.1,2.2,0.5,1.5,0.5,7.0,652.6,23.6,65.7,Cotton_RCH 2
2.7,3.3,1.8,0.4,1.6,0.6,7.1,645.9,28.3,70.0,Cotton_RCH 2
2.5,3.0,2.2,0.4,1.6,0.4,7.1,656.4,23.3,70.3,Cotton_RCH 2
2.5,2.5,1.8,0.5,1.3,0.4,6.8,713.9,23.1,68.3,Cotton_RCH 2
2.9,3.3,2.0,0.5,1.6,0.6,6.6,842.4,23.6,71.7,Cotton_RCH 2
2.5,3.4,2.2,0.3,1.2,0.4,6.9,705.6,27.2,73.0,Cotton_RCH 2
2.6,3.3,2.5,0.5,1.1,0.4,6.5,662.4,25.7,71.2,Cotton_RCH 2
2.6,2.7,1.9,0.5,1.2,0.3,7.0,817.3,29.0,69.2,Cotton_RCH 2
3.0,3.4,2.0,0.6,1.1,0.8,6.6,727.8,28.5,71.9,Cotton_RCH 2
3.2,3.3,1.9,0.5,1.0,0.6,6.6,666.4,26.7,71.8,Cotton_RCH 2
2.6,3.2,2.3,0.5,1.5,0.5,6.3,833.6,25.0,67.4,Cotton_RCH 2
2.8,3.2,2.3,0.5,1.4,0.7,6.4,660.9,30.0,65.3,Cotton_RCH 2
3.1,2.9,1.7,0.4,1.3,0.4,7.1,623.1,25.1,70.6,Cotton_RCH 2
3.0,3.4,1.9,0.2,1.6,0.7,7.1,823.6,27.1,74.4,Cotton_RCH 2
3.0,2.6,2.4,0.3,1.5,0.7,7.2,643.7,25.7,70.0,Cotton_RCH 2
2.8,3.2,2.3,0.3,1.5,0.3,7.1,609.8,28.6,74.0,Cotton_RCH 2
2.7,2.5,2.0,0.5,1.0,0.4,6.5,754.5,29.9,65.2,Cotton_RCH 2
2.7,3.3,1.8,0.5,1.2,0.6,6.7,800.7,25.9,75.0,Cotton_RCH 2
2.7,2.9,1.8,0.4,1.4,0.4,6.5,604.4,23.3,68.1,Cotton_RCH 2
2.8,2.6,2.3,0.3,1.0,0.6,6.8,623.6,29.3,67.4,Cotton_RCH 2
2.6,3.5,1.9,0.5,1.1,0.4,7.1,609.5,23.1,76.6,Cotton_RCH 2
3.1,3.2,1.9,0.2,1.1,0.6,6.5,679.8,25.2,75.2,Cotton_RCH 2
2.6,3.3,2.2,0.5,1.2,0.4,7.2,795.9,24.0,69.3,Cotton_RCH 2
2.7,3.3,1.7,0.5,1.6,0.6,6.6,825.2,24.0,68.3,Cotton_RCH 2
2.5,2.8,1.7,0.3,1.0,0.6,6.5,717.6,26.5,74.1,Cotton_RCH 2
2.8,2.7,2.4,0.3,1.6,0.4,6.4,696.8,24.0,66.8,Cotton_RCH 2
3.1,3.1,1.9,0.3,1.3,0.6,6.5,667.0,24.1,68.2,Cotton_RCH 2
2.9,3.2,2.4,0.6,1.4,0.7,6.2,689.1,28.1,78.4,Cotton_RCH 2
2.7,2.8,2.1,0.2,1.2,0.6,6.3,802.6,23.3,77.8,Cotton_RCH 2
3.2,3.1,1.6,0.3,1.1,0.4,7.2,651.9,28.6,72.4,Cotton_RCH 2
2.9,3.4,2.3,0.5,1.6,0.5,6.3,758.7,25.5,74.3,Cotton_RCH 2
3.0,2.8,1.8,0.4,1.3,0.5,6.5,828.6,26.3,65.4,Cotton_RCH 2
2.6,2.8,1.5,0.4,1.1,0.7,6.6,803.2,25.4,71.4,Cotton_RCH 2
2.8,2.5,1.6,0.6,1.3,0.7,6.9,770.3,27.7,67.1,Cotton_RCH 2
2.9,3.3,1.7,0.4,1.4,0.8,6.8,813.6,28.2,75.4,Cotton_RCH 2
3.2,3.3,1.9,0.5,1.4,0.7,6.2,606.3,28.1,68.3,Cotton_RCH 2
3.1,3.0,1.5,0.5,1.3,0.3,6.4,751.6,26.4,69.2,Cotton_RCH 2
2.9,3.4,2.1,0.5,1.5,0.6,7.0,848.2,25.9,73.3,Cotton_RCH 2
2.8,2.8,2.1,0.4,1.0,0.4,6.5,658.3,25.7,75.5,Cotton_RCH 2
2.9,2.9,2.4,0.5,1.4,0.4,6.5,752.5,29.8,69.0,Cotton_RCH 2
3.0,3.2,1.7,0.2,1.2,0.6,7.2,709.4,23.5,75.1,Cotton_RCH 2
3.0,2.9,2.3,0.3,1.4,0.8,6.9,754.0,26.5,65.8,Cotton_RCH 2
3.1,3.1,1.7,0.4,1.1,0.5,6.5,827.7,24.6,79.7,Cotton_RCH 2
2.5,3.4,1.8,0.3,1.1,0.4,7.2,834.5,28.4,70.5,Cotton_RCH 2
2.5,3.1,2.2,0.3,1.3,0.7,6.8,782.5,26.5,73.3,Cotton_RCH 2
2.9,2.9,1.6,0.6,1.5,0.7,6.3,754.2,27.1,78.7,Cotton_RCH 2
2.7,3.2,2.4,0.3,1.1,0.4,6.5,789.2,23.9,77.9,Cotton_RCH 2
2.9,2.7,1.9,0.3,1.1,0.7,6.8,747.0,24.2,78.4,Cotton_RCH 2
2.8,3.3,1.9,0.3,1.2,0.5,6.2,793.9,28.2,79.3,Cotton_RCH 2
2.9,3.0,2.2,0.5,1.5,0.7,6.5,614.3,27.8,75.9,Cotton_RCH 2
2.5,2.6,1.6,0.6,1.4,0.6,6.3,705.8,28.2,69.0,Cotton_RCH 2
2.6,2.9,1.7,0.3,1.2,0.6,6.5,818.2,23.9,75.9,Cotton_RCH 2
3.0,3.4,2.0,0.3,1.6,0.7,7.0,639.6,23.4,73.9,Cotton_RCH 2
3.1,3.5,2.3,0.3,1.3,0.7,6.6,849.6,25.6,74.9,Cotton_RCH 2
2.9,2.9,1.9,0.3,1.5,0.8,6.9,831.4,24.9,71.9,Cotton_RCH 2
3.1,3.5,2.4,0.3,1.1,0.4,7.0,779.1,25.5,70.5,Cotton_RCH 2
3.1,3.0,1.7,0.4,1.5,0.6,6.8,693.4,25.1,79.8,Cotton_RCH 2
2.9,2.8,1.8,0.5,1.2,0.7,6.3,631.7,29.2,69.0,Cotton_RCH 2
3.2,3.5,1.6,0.5,1.5,0.8,6.4,725.0,29.5,71.6,Cotton_RCH 2
3.0,3.2,1.5,0.4,1.2,0.6,6.7,841.9,28.8,76.0,Cotton_RCH 2
3.2,3.2,1.7,0.3,1.3,0.6,6.9,658.6,27.3,72.8,Cotton_RCH 2
3.0,3.4,1.6,0.2,1.4,0.4,7.1,762.6,25.2,78.1,Cotton_RCH 2
3.1,2.7,1.6,0.2,1.6,0.6,7.2,627.9,27.0,69.7,Cotton_RCH 2
2.7,3.4,2.4,0.3,1.1,0.3,6.5,693.1,26.7,74.8,Cotton_RCH 2
3.1,3.4,2.0,0.6,1.5,0.8,6.3,741.0,29.9,78.9,Cotton_RCH 2
2.8,3.2,2.2,0.4,1.3,0.6,6.4,722.6,26.8,72.2,Cotton_RCH 2
2.5,2.5,1.5,0.4,1.0,0.4,6.6,659.0,26.0,68.8,Cotton_RCH 2
2.6,2.8,2.1,0.4,1.4,0.6,6.8,742.9,23.2,77.9,Cotton_RCH 2
3.0,2.7,1.8,0.6,1.6,0.5,7.1,810.1,25.7,77.0,Cotton_RCH 2
3.1,2.5,2.1,0.3,1.0,0.6,6.9,670.4,27.9,77.5,Cotton_RCH 2
3.0,2.5,1.9,0.5,1.5,0.5,6.9,825.2,28.8,73.6,Cotton_RCH 2
2.7,3.2,1.8,0.2,1.3,0.7,6.6,604.6,25.2,77.4,Cotton_RCH 2
2.6,2.6,1.8,0.6,1.6,0.4,6.3,845.7,23.8,79.7,Cotton_RCH 2
2.6,3.3,2.4,0.5,1.5,0.7,6.6,770.6,27.1,77.3,Cotton_RCH 2
2.8,3.5,1.5,0.3,1.5,0.6,6.5,794.9,24.3,78.4,Cotton_RCH 2
3.0,3.1,2.4,0.6,1.1,0.7,7.1,800.1,29.9,67.6,Cotton_RCH 2
2.6,3.5,2.0,0.3,1.2,0.4,7.0,747.0,27.8,69.5,Cotton_RCH 2
3.0,3.3,1.9,0.3,1.1,0.8,6.2,734.6,28.7,66.1,Cotton_RCH 2
2.8,2.9,1.8,0.2,1.2,0.7,6.9,741.8,27.7,72.0,Cotton_RCH 2
3.1,3.4,1.8,0.5,1.3,0.4,6.6,842.3,25.1,76.1,Groundnut_TMV 7
3.1,3.3,2.1,0.6,1.4,0.4,7.0,765.8,26.9,71.1,Groundnut_TMV 7
2.7,3.5,2.0,0.6,1.4,0.4,6.4,762.6,27.5,76.5,Groundnut_TMV 7
2.9,3.3,1.6,0.3,1.4,0.6,6.9,704.5,23.1,71.2,Groundnut_TMV 7
3.0,2.6,2.4,0.4,1.1,0.7,6.9,804.7,26.9,69.1,Groundnut_TMV 7
2.9,3.2,2.1,0.2,1.5,0.4,7.2,613.3,28.9,72.1,Groundnut_TMV 7
2.7,2.7,2.3,0.6,1.3,0.7,6.6,803.9,25.2,67.9,Groundnut_TMV 7
2.9,2.8,1.7,0.2,1.4,0.6,7.1,836.6,24.5,67.3,Groundnut_TMV 7
2.7,2.6,1.5,0.4,1.4,0.5,6.8,773.4,23.3,69.5,Groundnut_TMV 7
3.2,3.4,2.3,0.3,1.3,0.6,6.7,709.7,26.6,72.1,Groundnut_TMV 7
2.9,3.0,2.0,0.5,1.4,0.6,6.8,692.3,29.2,76.7,Groundnut_TMV 7
2.8,3.4,1.7,0.3,1.1,0.7,6.6,688.2,28.8,73.4,Groundnut_TMV 7
2.7,2.7,2.2,0.4,1.0,0.5,6.8,606.0,27.8,79.4,Groundnut_TMV 7
2.6,3.3,2.0,0.4,1.0,0.4,6.6,663.2,25.1,74.1,Groundnut_TMV 7
2.8,3.3,2.1,0.2,1.4,0.5,6.3,773.2,27.5,79.7,Groundnut_TMV 7
2.5,2.7,1.9,0.4,1.1,0.7,6.6,658.6,26.1,69.2,Groundnut_TMV 7
2.5,2.7,2.4,0.4,1.6,0.7,6.5,841.0,24.3,72.0,Groundnut_TMV 7
2.9,3.3,2.4,0.5,1.6,0.6,6.3,654.5,25.7,76.7,Groundnut_TMV 7
3.0,3.5,2.2,0.6,1.1,0.7,6.3,687.0,26.8,73.5,Groundnut_TMV 7
2.7,3.3,2.4,0.3,1.3,0.5,6.5,716.0,28.3,71.1,Groundnut_TMV 7
2.8,3.0,1.7,0.6,1.6,0.4,6.9,609.5,29.7,71.8,Groundnut_TMV 7
3.0,3.0,1.8,0.5,1.1,0.3,6.6,665.3,24.6,79.8,Groundnut_TMV 7
3.2,3.1,1.5,0.5,1.6,0.7,6.6,816.7,26.2,79.1,Groundnut_TMV 7
3.1,3.4,2.2,0.4,1.3,0.6,6.7,737.9,28.5,68.1,Groundnut_TMV 7
2.6,2.5,1.7,0.2,1.5,0.4,6.2,670.4,27.0,75.6,Groundnut_TMV 7
3.1,2.7,2.4,0.4,1.2,0.7,6.9,805.9,23.8,72.2,Groundnut_TMV 7
2.9,3.2,1.9,0.3,1.5,0.4,6.4,801.9,28.8,69.7,Groundnut_TMV 7
2.8,3.3,1.9,0.4,1.4,0.6,6.8,679.4,27.0,77.0,Groundnut_TMV 7
2.6,2.8,2.4,0.6,1.5,0.4,6.6,800.1,28.8,79.9,Groundnut_TMV 7
3.0,3.1,2.0,0.5,1.3,0.3,6.5,772.8,26.7,73.4,Groundnut_TMV 7
2.7,3.4,1.7,0.3,1.2,0.4,6.4,700.1,25.7,73.4,Groundnut_TMV 7
2.8,3.0,1.9,0.4,1.3,0.4,6.2,699.2,28.8,66.7,Groundnut_TMV 7
3.2,2.6,1.8,0.6,1.3,0.7,6.5,739.2,23.1,79.8,Groundnut_TMV 7
3.1,2.6,2.4,0.5,1.4,0.7,6.5,792.1,27.4,78.3,Groundnut_TMV 7
2.7,2.7,2.1,0.4,1.0,0.6,6.5,608.1,29.1,77.7,Groundnut_TMV 7
3.2,3.0,1.8,0.5,1.2,0.8,6.7,755.3,24.1,74.2,Groundnut_TMV 7
2.9,2.7,1.6,0.3,1.4,0.5,7.0,687.1,27.7,79.3,Groundnut_TMV 7
2.9,2.8,1.9,0.5,1.2,0.4,6.8,753.2,25.8,68.3,Groundnut_TMV 7
2.6,3.0,2.1,0.6,1.3,0.8,6.3,793.0,25.3,69.8,Groundnut_TMV 7
2.5,3.3,2.4,0.3,1.2,0.6,6.4,711.0,27.1,73.1,Groundnut_TMV 7
3.1,3.2,2.0,0.5,1.3,0.7,6.7,658.3,27.1,74.4,Groundnut_TMV 7
2.6,2.9,1.6,0.2,1.2,0.7,7.0,757.9,26.4,72.5,Groundnut_TMV 7
2.7,3.2,1.7,0.4,1.3,0.5,7.1,644.7,29.5,70.2,Groundnut_TMV 7
2.5,2.8,2.3,0.3,1.3,0.4,6.8,659.8,23.2,66.7,Groundnut_TMV 7
2.8,3.4,2.2,0.4,1.1,0.7,6.5,708.2,24.4,70.2,Groundnut_TMV 7
2.9,3.0,1.9,0.5,1.5,0.5,6.5,699.0,26.0,77.4,Groundnut_TMV 7
3.1,2.7,2.0,0.3,1.5,0.5,6.9,739.3,28.5,68.6,Groundnut_TMV 7
3.0,2.8,2.4,0.4,1.1,0.7,7.1,645.6,24.3,67.2,Groundnut_TMV 7
2.9,2.8,1.5,0.4,1.6,0.6,7.0,662.1,26.7,65.4,Groundnut_TMV 7
3.1,3.4,1.7,0.2,1.5,0.4,6.4,767.2,28.3,77.9,Groundnut_TMV 7
2.9,3.4,2.2,0.4,1.4,0.6,6.4,767.2,23.6,78.1,Groundnut_TMV 7
2.8,3.2,1.8,0.3,1.6,0.6,6.9,832.5,23.6,67.6,Groundnut_TMV 7
3.1,2.5,2.2,0.3,1.4,0.8,6.6,844.3,28.4,79.0,Groundnut_TMV 7
2.7,3.1,2.5,0.3,1.4,0.7,6.8,807.8,24.5,65.4,Groundnut_TMV 7
2.6,2.6,1.8,0.3,1.5,0.5,7.1,662.7,23.2,67.1,Groundnut_TMV 7
3.0,2.7,2.1,0.4,1.1,0.6,7.1,688.8,29.6,72.6,Groundnut_TMV 7
2.9,3.3,2.4,0.3,1.0,0.3,7.2,607.8,29.6,68.0,Groundnut_TMV 7
3.0,2.7,2.3,0.2,1.0,0.7,6.4,673.7,28.2,70.3,Groundnut_TMV 7
2.6,2.7,2.2,0.4,1.3,0.8,7.2,802.0,24.7,68.0,Groundnut_TMV 7
2.8,2.7,1.5,0.3,1.4,0.8,6.7,831.8,23.4,79.8,Groundnut_TMV 7
3.0,3.1,2.0,0.3,1.0,0.3,6.3,648.0,25.4,79.1,Groundnut_TMV 7
3.2,2.8,2.3,0.3,1.6,0.7,6.4,735.0,28.1,66.6,Groundnut_TMV 7
3.0,2.9,2.5,0.2,1.5,0.8,6.2,676.9,26.9,75.7,Groundnut_TMV 7
3.2,3.1,1.8,0.6,1.5,0.5,6.9,643.4,24.4,67.0,Groundnut_TMV 7
2.7,3.1,2.1,0.3,1.3,0.7,7.0,805.3,23.3,70.7,Groundnut_TMV 7
2.8,2.7,1.8,0.3,1.3,0.6,7.0,784.4,24.7,74.9,Groundnut_TMV 7
3.2,2.6,2.4,0.5,1.0,0.4,6.4,772.5,27.3,77.5,Groundnut_TMV 7
2.8,3.0,2.4,0.5,1.1,0.3,6.4,788.5,24.7,74.7,Groundnut_TMV 7
3.1,3.0,2.4,0.3,1.3,0.7,7.1,640.0,24.1,77.5,Groundnut_TMV 7
3.1,3.3,2.5,0.5,1.3,0.6,6.2,849.5,24.5,72.4,Groundnut_TMV 7
3.1,2.8,2.5,0.3,1.2,0.6,6.9,731.3,25.0,65.6,Groundnut_TMV 7
2.6,3.2,1.8,0.3,1.6,0.6,7.0,707.0,26.4,74.4,Groundnut_TMV 7
